ISO,name,AggregatedRegion,,,,
SJM,Svalbard and Jan Mayen,West,,,,
SWE,Sweden,West,,,,
CHE,Switzerland,West,,,,
SYR,Syrian Arab Republic,RoA,,,,
TJK,Tajikistan,RoA,,,,
THA,Thailand,S_E_Asia,,,,
TLS,Timor-Leste,S_E_Asia,,,,
TGO,Togo,Africa,,,,
TKL,Tokelau,S_E_Asia,,,,
TON,Tonga,S_E_Asia,,,,
TUN,Tunisia,Africa,,,,
TUR,Turkey,RoA,,,,
TKM,Turkmenistan,RoA,,,,
TUV,Tuvalu,S_E_Asia,,,,
UGA,Uganda,Africa,,,,
UKR,Ukraine,West,,,,
ARE,United Arab Emirates,RoA,,,,
GBR,United Kingdom of Great Britain and Northern Ireland,West,,,,
TZA,United Republic of Tanzania,Africa,,,,
UMI,United States Minor Outlying Islands,S_E_Asia,,,,
USA,United States of America,West,,,,
UZB,Uzbekistan,RoA,,,,
VUT,Vanuatu,S_E_Asia,,,,
VNM,Vietnam,S_E_Asia,,,,
WLF,Wallis and Futuna Islands,S_E_Asia,,,,
ESH,Western Sahara,Africa,,,,
YEM,"Yemen, Rep.",RoA,,,,
ZMB,Zambia,Africa,,,,
ZWE,Zimbabwe,Africa,,,,
NOR,Norway,West,,,,
LKA,Sri Lanka,S_E_Asia,,,,
JPN,Japan,S_E_Asia,,,,
KOR,South Korea,S_E_Asia,,,,
PRK,North Korea,S_E_Asia,,,,
TWN,Taiwan,S_E_Asia,,,,
BTN,Bhutan,S_E_Asia,,,,
